Fecha,Temporada,Equipo,Puntos
18,21/22,Villarreal,25
18,21/22,Athletic Club,24
18,21/22,Espanyol,23
18,21/22,Osasuna,22
18,21/22,Granada,22
18,21/22,Mallorca,20
18,21/22,Celta Vigo,20
18,21/22,Alavés,15
18,21/22,Elche,15
18,21/22,Getafe,15
18,21/22,Cádiz,14
18,21/22,Levante,8
19,21/22,Real Madrid,43
19,21/22,Sevilla,41
19,21/22,Betis,33
19,21/22,Atlético Madrid,32
19,21/22,Barcelona,31
19,21/22,Rayo Vallecano,30
19,21/22,Real Sociedad,30
19,21/22,Valencia,28
19,21/22,Villarreal,28
19,21/22,Athletic Club,27
19,21/22,Espanyol,26
19,21/22,Granada,23
19,21/22,Celta Vigo,23
19,21/22,Osasuna,22
19,21/22,Mallorca,20
19,21/22,Getafe,18
19,21/22,Alavés,16
19,21/22,Elche,16
19,21/22,Cádiz,14
19,21/22,Levante,8
20,21/22,Real Madrid,46
20,21/22,Sevilla,44
20,21/22,Betis,34
20,21/22,Atlético Madrid,33
20,21/22,Real Sociedad,33
20,21/22,Barcelona,32
20,21/22,Rayo Vallecano,31
20,21/22,Villarreal,29
20,21/22,Valencia,28
20,21/22,Athletic Club,28
20,21/22,Espanyol,26
20,21/22,Osasuna,25
20,21/22,Granada,24
20,21/22,Celta Vigo,23
20,21/22,Mallorca,20
20,21/22,Elche,19
20,21/22,Getafe,18
20,21/22,Alavés,17
20,21/22,Cádiz,14
20,21/22,Levante,11
21,21/22,Real Madrid,49
21,21/22,Sevilla,45
21,21/22,Betis,37
21,21/22,Real Sociedad,36
21,21/22,Rayo Vallecano,34
21,21/22,Atlético Madrid,33
21,21/22,Barcelona,32
21,21/22,Valencia,29
21,21/22,Villarreal,29
21,21/22,Athletic Club,28
21,21/22,Espanyol,27
21,21/22,Celta Vigo,26
21,21/22,Osasuna,25
21,21/22,Granada,24
21,21/22,Elche,22
21,21/22,Getafe,21
21,21/22,Mallorca,20
21,21/22,Alavés,17
21,21/22,Cádiz,15
21,21/22,Levante,14
22,21/22,Real Madrid,50
22,21/22,Sevilla,46
22,21/22,Betis,40
22,21/22,Real Sociedad,37
22,21/22,Atlético Madrid,36
22,21/22,Barcelona,35
22,21/22,Rayo Vallecano,34
22,21/22,Villarreal,32
22,21/22,Athletic Club,31
22,21/22,Valencia,29
22,21/22,Osasuna,28
22,21/22,Espanyol,27
22,21/22,Celta Vigo,27
22,21/22,Granada,24
22,21/22,Elche,23
22,21/22,Getafe,22
22,21/22,Mallorca,20
22,21/22,Cádiz,18
22,21/22,Alavés,17
22,21/22,Levante,14
23,21/22,Real Madrid,53
23,21/22,Sevilla,47
23,21/22,Betis,40
23,21/22,Barcelona,38
23,21/22,Real Sociedad,38
23,21/22,Atlético Madrid,36
23,21/22,Villarreal,35
23,21/22,Athletic Club,34
23,21/22,Rayo Vallecano,34
23,21/22,Valencia,30
23,21/22,Celta Vigo,30
23,21/22,Osasuna,29
23,21/22,Espanyol,27
23,21/22,Elche,26
23,21/22,Getafe,25
23,21/22,Granada,24
23,21/22,Mallorca,23
23,21/22,Cádiz,18
23,21/22,Alavés,17
23,21/22,Levante,14
24,21/22,Real Madrid,54
24,21/22,Sevilla,50
24,21/22,Betis,43
24,21/22,Real Sociedad,41
24,21/22,Barcelona,39
24,21/22,Atlético Madrid,39
24,21/22,Villarreal,36
24,21/22,Athletic Club,34
24,21/22,Rayo Vallecano,34
24,21/22,Osasuna,32
24,21/22,Celta Vigo,31
24,21/22,Valencia,30
24,21/22,Espanyol,28
24,21/22,Elche,26
24,21/22,Mallorca,26
24,21/22,Getafe,25
24,21/22,Granada,24
24,21/22,Alavés,20
24,21/22,Cádiz,19
24,21/22,Levante,14
25,21/22,Real Madrid,57
25,21/22,Sevilla,51
25,21/22,Betis,46
25,21/22,Barcelona,42
25,21/22,Atlético Madrid,42
25,21/22,Real Sociedad,41
25,21/22,Villarreal,39
25,21/22,Athletic Club,37
25,21/22,Rayo Vallecano,34
25,21/22,Osasuna,32
25,21/22,Celta Vigo,32
25,21/22,Valencia,30
25,21/22,Espanyol,29
25,21/22,Elche,29
25,21/22,Getafe,26
25,21/22,Mallorca,26
25,21/22,Granada,24
25,21/22,Alavés,20
25,21/22,Cádiz,20
25,21/22,Levante,15
26,21/22,Real Madrid,60
26,21/22,Sevilla,54
26,21/22,Betis,46
26,21/22,Barcelona,45
26,21/22,Atlético Madrid,45
26,21/22,Real Sociedad,44
26,21/22,Villarreal,42
26,21/22,Athletic Club,37
26,21/22,Rayo Vallecano,34
26,21/22,Valencia,33
26,21/22,Osasuna,32
26,21/22,Celta Vigo,32
26,21/22,Espanyol,29
26,21/22,Elche,29
26,21/22,Getafe,27
26,21/22,Mallorca,26
26,21/22,Granada,25
26,21/22,Alavés,21
26,21/22,Cádiz,21
26,21/22,Levante,18
27,21/22,Real Madrid,63
27,21/22,Sevilla,55
27,21/22,Barcelona,48
27,21/22,Atlético Madrid,48
27,21/22,Betis,46
27,21/22,Real Sociedad,44
27,21/22,Villarreal,42
27,21/22,Athletic Club,40
27,21/22,Valencia,36
27,21/22,Celta Vigo,35
27,21/22,Osasuna,35
27,21/22,Rayo Vallecano,34
27,21/22,Espanyol,32
27,21/22,Elche,29
27,21/22,Getafe,27
27,21/22,Mallorca,26
27,21/22,Granada,25
27,21/22,Cádiz,24
27,21/22,Alavés,22
27,21/22,Levante,18
28,21/22,Real Madrid,66
28,21/22,Sevilla,56
28,21/22,Barcelona,51
28,21/22,Atlético Madrid,51
28,21/22,Betis,49
28,21/22,Real Sociedad,47
28,21/22,Villarreal,45
28,21/22,Athletic Club,40
28,21/22,Valencia,37
28,21/22,Celta Vigo,35
28,21/22,Osasuna,35
28,21/22,Rayo Vallecano,35
28,21/22,Espanyol,33
28,21/22,Elche,32
28,21/22,Getafe,28
28,21/22,Mallorca,26
28,21/22,Granada,25
28,21/22,Cádiz,24
28,21/22,Alavés,22
28,21/22,Levante,19
29,21/22,Real Madrid,66
29,21/22,Sevilla,57
29,21/22,Barcelona,54
29,21/22,Atlético Madrid,54
29,21/22,Betis,50
29,21/22,Real Sociedad,48
29,21/22,Villarreal,45
29,21/22,Athletic Club,41
29,21/22,Valencia,40
29,21/22,Osasuna,38
29,21/22,Celta Vigo,36
29,21/22,Espanyol,36
29,21/22,Rayo Vallecano,35
29,21/22,Elche,32
29,21/22,Getafe,29
29,21/22,Granada,28
29,21/22,Cádiz,27
29,21/22,Mallorca,26
29,21/22,Alavés,22
29,21/22,Levante,19
30,21/22,Real Madrid,69
30,21/22,Barcelona,57
30,21/22,Atlético Madrid,57
30,21/22,Sevilla,57
30,21/22,Betis,53
30,21/22,Real Sociedad,51
30,21/22,Villarreal,45
30,21/22,Athletic Club,44
30,21/22,Valencia,41
30,21/22,Osasuna,38
30,21/22,Celta Vigo,36
30,21/22,Espanyol,36
30,21/22,Rayo Vallecano,36
30,21/22,Elche,32
30,21/22,Getafe,32
30,21/22,Granada,29
30,21/22,Cádiz,28
30,21/22,Mallorca,26
30,21/22,Alavés,22
30,21/22,Levante,22
31,21/22,Real Madrid,72
31,21/22,Barcelona,60
31,21/22,Sevilla,60
31,21/22,Atlético Madrid,57
31,21/22,Betis,56
31,21/22,Real Sociedad,54
31,21/22,Villarreal,46
31,21/22,Athletic Club,45
31,21/22,Valencia,42
31,21/22,Osasuna,41
31,21/22,Espanyol,39
31,21/22,Rayo Vallecano,37
31,21/22,Celta Vigo,36
31,21/22,Elche,32
31,21/22,Getafe,32
31,21/22,Granada,29
31,21/22,Mallorca,29
31,21/22,Cádiz,28
31,21/22,Alavés,22
31,21/22,Levante,22
32,21/22,Real Madrid,75
32,21/22,Barcelona,60
32,21/22,Atlético Madrid,60
32,21/22,Sevilla,60
32,21/22,Betis,57
32,21/22,Real Sociedad,55
32,21/22,Villarreal,49
32,21/22,Athletic Club,45
32,21/22,Osasuna,44
32,21/22,Valencia,42
32,21/22,Celta Vigo,39
32,21/22,Espanyol,39
32,21/22,Rayo Vallecano,37
32,21/22,Elche,35
32,21/22,Getafe,32
32,21/22,Cádiz,31
32,21/22,Granada,29
32,21/22,Mallorca,29
32,21/22,Alavés,25
32,21/22,Levante,25
33,21/22,Real Madrid,78
33,21/22,Barcelona,63
33,21/22,Sevilla,63
33,21/22,Atlético Madrid,61
33,21/22,Betis,57
33,21/22,Real Sociedad,55
33,21/22,Villarreal,52
33,21/22,Athletic Club,48
33,21/22,Osasuna,44
33,21/22,Valencia,42
33,21/22,Rayo Vallecano,40
33,21/22,Celta Vigo,39
33,21/22,Espanyol,39
33,21/22,Elche,38
33,21/22,Getafe,35
33,21/22,Mallorca,32
33,21/22,Cádiz,31
33,21/22,Granada,30
33,21/22,Alavés,25
